k,n_k
0,5.352956580554297
1,2.9390835676333054
2,23.325959303358044
3,3.5241353377342013
4,5.720866711530778
5,4.083558094491569
6,2.93565381380348
7,8.79202696738938
8,1.1450452439010754
9,1.0962291596115687
10,1.5299153367383496
11,1.9814120797141805
12,0.9826835067893316
13,0.70542654563658
14,5.384295861014303
15,2.795694080013281
16,1.9583139309016906
17,3.3823231569187646
18,0.5432369978551662
19,0.6821484866842695
20,0.2896661861883921
21,1.0818273801663663
22,4.383842728422809
23,6.889251982168064
24,6.601181877060223
25,0.8319180255362693
26,2.8891092151825166
27,0.22839661106225032
28,3.4298913684060666
29,4.871676347796943
30,13.612850388114499
31,0.538402541500483
32,4.710986106301425
33,1.3568613251654975
34,1.6746391253493174
35,0.9406469247952239
36,0.7719029221791098
37,0.6574914296450093
38,0.18147941705719425
39,0.8349774821760906
40,0.8883048670298725
41,0.685768783410064
42,5.255573513757658
43,5.7742795101336135
44,0.813869121233392
45,0.7109835069768253
46,0.2957984917664261
47,1.234995526073862
48,1.5839641025597557
49,0.7511439829596294
50,2.8982885930779134
51,0.3406734598469642
52,1.4922701747852987
53,3.3818128218879475
54,1.358731920226547
55,0.48021903161832313
56,1.0555116576439212
57,4.813639680505519
58,3.9758638369343022
59,0.28809742558709395
60,1.907521299601678
61,1.0056641929292867
62,0.3557289357945599
63,0.3760295231296805
64,3.4235568169735955
65,2.8725566667258495
66,0.17706888606764398
67,4.018907157250432
68,0.8482876958357176
69,1.584683836287906
70,0.10255656484303177
71,4.32540968380319
72,1.2600388107352156
73,1.2615163888897487
74,6.431289141890012
75,0.11025944917714395
76,3.345765857416985
77,1.1079287878937485
78,2.231090395708502
79,4.961238980823539
80,2.3882416562918882
81,2.316897555747846
82,2.0321474882206334
83,6.230859467947807
84,1.633098077153624
85,2.535098221068461
86,3.885684989408127
87,0.68508318594469
88,3.7367564724787554
89,0.16539950863972583
90,2.6714532446696593
91,0.4261675215349335
92,0.9426935508392343
93,1.3876352719222658
94,0.5837301609710445
95,0.28919980382519334
96,1.6186067011104655
97,1.3916067989577559
98,1.2679308709122765
99,1.9257929254026172
100,2.0858977427119867
