L,N,delta_omega_min,delta_omega_mean,Gamma_NL,ratio_dwmin_over_GammaNL,regime
2,8,0.22388753635207204,0.2546896832758416,0.00757162733303108,29.569275732228252,suppressed
3,27,0.1472839499997307,0.183913477307698,0.0015973739626017646,92.20380039238785,suppressed
4,64,0.025472761036868796,0.08539935121311423,0.0004896219007226456,52.025371004182794,suppressed
5,125,0.027817732339594503,0.05769347687380094,0.00024588112307414824,113.13488401143243,suppressed
6,216,0.009550488267136448,0.03372318925422533,0.0001307023872986057,73.07049599114957,suppressed
7,343,0.0015817582962589505,0.024095525188288912,8.319580531063089e-05,19.012476534761433,suppressed
8,512,0.004260203272086205,0.017325386347872403,5.207810798812679e-05,81.8041099545606,suppressed
9,729,0.0006836995460366424,0.012085579740612366,3.76575037025929e-05,18.155732027175407,suppressed
10,1000,0.00046335579978018515,0.008735567138276298,2.5705894730585898e-05,18.025274149623975,suppressed
12,1728,0.0004454708856651557,0.005236134093773504,1.4323200117757082e-05,31.101351793087527,suppressed
15,3375,7.21006972552729e-05,0.002798635520901812,7.191007990544629e-06,10.026507737173599,suppressed
